c[NaOH];c[Ester];Gradzahl;;c[NaOH];c[Ester];;;c[NaOH];c[Ester];;;c[NaOH];c[Ester];;;c[NaOH];c[Ester];;;;;
0,004;0,02;31,8;;0,004;0,014;31,6°C;;0,004;0,01;31,3°C;;0,003;0,02;;;0,002;0,02;;;;;
Zeit [min];Leitfähigkeit;;;Zeit [min];Leitfähigkeit;;;Zeit [min];Leitfähigkeit;;;Zeit [min];Leitfähigkeit;;;Zeit [min];Leitfähigkeit;;;Arrhenius:;;
0;476;;;0;479;;;0;547;;;0;357;;;0;233;;;ln k = ln A - EA/R * 1/T;;A ist egal
0,5;467;;;0,5;469;30,8°C;;0,5;540;;;0,5;347;;;0,5;227;;;Steigung = -EA/R;;
1;454;;;1;460;;;1;533;;;1;337;;;1;222;;;;;
1,5;442;;;1,5;452;;;1,5;525;;;1,5;329;;;1,5;216;;;TOF:;;
2;430;31,4°C;;2;443;;;2;518;;;2;320;;;2;209;;;;;
2,5;419;;;2,5;435;31;;2,5;511;;;2,5;312;;;2,5;204;;;;;
3;408;;;3;428;;;3;505;;;3;304;;;3;200;;;;;
3,5;398;;;3,5;420;;;3,5;499;;;3,5;297;;;3,5;194;;;;;
4;389;;;4;413;;;4;492;;;4;290;;;4;188;;;;;
4,5;380;;;4,5;407;;;4,5;486;;;4,5;284;;;4,5;185;;;;;
5;372;31,3°C;;5;400;;;5;481;;;5;277;;;5;181;;;;;
5,5;364;;;5,5;394;;;5,5;475;;;5,5;272;;;5,5;178;;;;;
6;356;;;6;388;;;6;470;;;6;266;;;6;174;;;;;
6,5;349;;;6,5;382;;;6,5;464;;;6,5;261;;;6,5;170;;;;;
7;342;;;7;376;;;7;460;;;7;255;;;7;167;;;;;
7,5;335;;;7,5;371;;;7,5;455;;;7,5;251;;;7,5;164;;;;;
8;329;;;8;366;;;8;450;;;8;246;;;8;160;;;;;
8,5;323;;;8,5;361;;;8,5;446;;;8,5;241;;;8,5;158;;;;;
9;318;;;9;356;;;9;441;;;9;238;;;9;154;;;;;
9,5;312;;;9,5;351;;;9,5;437;;;9,5;233;;;9,5;153;;;;;
10;307;30,8°;;10;347;;;10;433;;;10;229;;;10;150;;;;;
10,5;302;;;10,5;343;;;10,5;429;;;10,5;226;;;10,5;146;;;;;
11;298;;;11;338;;;11;425;;;11;222;;;11;144;;;;;
11,5;293;;;11,5;334;;;11,5;421;;;11,5;219;;;11,5;140;;;;;
12;289;;;12;331;;;12;416;;;12;216;;;12;140;;;;;
12,5;285;;;12,5;327;;;12,5;413;;;12,5;212;;;12,5;139;;;;;
13;281;;;13;323;;;13;410;;;13;210;;;13;137;;;;;
13,5;277;;;13,5;320;;;13,5;406;;;13,5;207;;;13,5;135;;;;;
14;274;;;14;316;;;14;403;;;14;204;;;14;134;;;;;
14,5;270;;;14,5;313;;;14,5;400;;;14,5;202;;;14,5;131;;;;;
15;267;;;15;309;;;15;396;;;15;199;;;15;130;;;;;
15,5;264;;;15,5;306;;;15,5;393;;;15,5;196,6;;;15,5;128;;;;;
16;261;;;16;303;;;16;390;;;16;194;;;16;128;;;;;
16,5;258;;;16,5;300;;;16,5;387;;;16,5;192;;;16,5;125;;;;;
17;256;;;17;297;;;17;384;;;17;190;;;17;123;;;;;
17,5;253;;;17,5;295;;;17,5;381;;;17,5;188;;;17,5;124;;;;;
18;250;;;18;292;;;18;378;;;18;186;;;18;122;;;;;
18,5;248;30,4°C;;18,5;289;;;18,5;376;;;18,5;184;;;18,5;121;;;;;
19;245;;;19;287;;;19;373;;;19;182;;;19;120;;;;;
19,5;243;;;19,5;284;;;19,5;370;;;19,5;181;;;19,5;117;;;;;
20;241;;;20;282;;;20;368;;;20;179;;;20;116;;;;;
